n,"omega (in order, exact)",a_n (exact; A_n=i*a_n),"chamber (b=#below P, m=#mid, h=#high)",closed_form_pred,rel_residual(0=bit-exact)
4,-3;1;3;-1,-24,b0m0h0(limit),-24,0
4,-5;2;5;-2,-320,b0m0h0(limit),-320,0
4,-2;1;2;-1,-16,b0m0h0(limit),-16,0
4,-3;2;3;-2,-192,b0m0h0(limit),-192,0
4,-4;3;4;-3,-864,b0m0h0(limit),-864,0
4,-4;1;4;-1,-32,b0m0h0(limit),-32,0
4,-5;3;5;-3,-1080,b0m0h0(limit),-1080,0
4,-7;4;7;-4,-3584,b0m0h0(limit),-3584,0
4,-5;1;5;-1,-40,b0m0h0(limit),-40,0
4,-7;2;7;-2,-448,b0m0h0(limit),-448,0
5,-53/28;5;3/2;1/2;-143/28,-2385/14,b2m0h1,-2385/14,0
5,-1633/354;5;13/3;1/2;-308/59,-5519540/1593,b2m0h1,-5519540/1593,0
5,-70/17;7;11/3;2/3;-368/51,-7589120/1377,b2m0h1,-7589120/1377,0
5,-153/19;10;6;3;-208/19,-15863040/19,b2m0h1,-15863040/19,0
5,-1925/156;8/3;11/3;11;-779/156,-252313600/9477,b0m3h0,-252313600/9477,0
5,-7;1;5;4;-3,-112,b0m3h0,-112,0
5,-21/4;3;3/2;9/2;-15/4,-35721/4,b1m2h0,-35721/4,0
5,-31/7;2;4;1;-18/7,-992,b1m2h0,-992,0
5,-457/104;11/3;3/2;7/2;-1333/312,-175939973/12636,b2m1h0,-175939973/12636,0
5,-44/9;1/3;14/3;1;-10/9,-704/2187,b0m3h0,-704/2187,0
5,-589/66;6;4;13/2;-250/33,-8443904/11,b1m2h0,-8443904/11,0
5,-535/58;3;6;11/2;-153/29,-1040040/29,b0m3h0,-1040040/29,0
5,-253/38;1;7/2;5;-54/19,-2024/19,b0m3h0,-2024/19,0
5,-62/11;1/3;2;5;-56/33,-992/2673,b0m3h0,-992/2673,0
5,-401/69;1/3;7/3;5;-128/69,-6416/16767,b0m3h0,-6416/16767,0
5,-67/22;2;1;5/2;-27/11,-7504/11,b1m2h0,-7504/11,0
5,-101/15;5/2;4;13/3;-41/10,-63125/6,b0m3h0,-63125/6,0
5,-14/3;7/3;8/3;3;-10/3,-3764768/729,b0m3h0,-3764768/729,0
5,-29/4;5;3/2;13/2;-23/4,-249255/4,b1m2h0,-249255/4,0
5,-37/6;4/3;6;2/3;-11/6,-132608/729,b1m2h0,-132608/729,0
5,-55/16;4/3;1;3;-91/48,-5060/27,b1m2h0,-5060/27,0
5,-999/86;8;9;9/2;-425/43,-139504356/43,b1m2h0,-139504356/43,0
5,-14/3;7;1;4;-22/3,-50176/3,b2m0h1,-50176/3,0
5,-1621/330;4;14/3;1/2;-234/55,-411734/165,b1m2h0,-411734/165,0
5,-1256/183;3/2;11/3;5;-403/122,-50868/61,b0m3h0,-50868/61,0
5,-10;3/2;9;3;-7/2,-1215,b0m3h0,-1215,0
5,-352/39;7/3;8;8/3;-155/39,-94657024/9477,b0m3h0,-94657024/9477,0
5,-81/26;3;5/2;1;-44/13,-24300/13,b2m0h1,-24300/13,0
5,-416/165;13/2;2/3;2;-731/110,-1384448/1485,b2m0h1,-1384448/1485,0
5,-299/102;5/2;1/2;8/3;-93/34,-73255/204,b1m2h0,-73255/204,0
5,-23/2;7;3;10;-17/2,-1031688,b1m2h0,-1031688,0
5,-781/105;5/2;11/3;11/2;-148/35,-488125/42,b0m3h0,-488125/42,0
5,-3/2;1;4/3;1/3;-7/6,-136/27,b1m2h0,-136/27,0
5,-319/52;6;5/2;9/2;-357/52,-1937925/13,b2m0h1,-1937925/13,0
5,-133/12;4;9;13/3;-25/4,-544768/3,b0m3h0,-544768/3,0
5,-1165/426;9;7/3;1/2;-646/71,-228340/213,b2m0h1,-228340/213,0
5,-2041/510;10;2/3;7/2;-864/85,-3200288/459,b2m0h1,-3200288/459,0
5,-196/17;9/2;3/2;11;-93/17,-71442,b1m2h0,-71442,0
5,-38/7;3/2;7/3;13/3;-115/42,-4617/7,b0m3h0,-4617/7,0
5,-79/13;6;3;4;-90/13,-2184192/13,b2m0h1,-2184192/13,0
6,-253/18;13/3;13/2;5/3;10;-76/9,-96871574800/19683,b1m3h0,-96871574800/19683,0
6,-503/87;7/3;1;2;13/3;-338/87,-23886464/783,b2m2h0,-23886464/783,0
6,-106/15;13/2;4;7/2;1;-119/15,-8642816/5,b3m0h1,-8642816/5,0
6,-3373/240;10;11/3;2;11;-1009/80,-10729000304/81,b2m2h0,-10729000304/81,0
6,-659/112;4/3;5/2;4;3/2;-1159/336,-21594112/15309,b0m4h0,-21594112/15309,0
6,-149/17;6;2;4;5;-140/17,-257357568/17,b3m1h0,-257357568/17,0
6,-2885/297;7/2;6;10/3;11/3;-4031/594,-432663738500/216513,b1m3h0,-432663738500/216513,0
6,-2179/192;8;10/3;9;1;-639/64,-909078800/81,b2m2h0,-909078800/81,0
6,-1147/144;6;8/3;3;13/3;-1157/144,-99247616/9,b3m0h1,-99247616/9,0
6,-272/33;13/3;7/3;2;6;-212/33,-510089216/243,b2m2h0,-510089216/243,0
6,-1337/192;3/2;11/2;5/3;2;-237/64,-974673/256,b0m4h0,-974673/256,0
6,-241/22;7/3;2/3;8;11/2;-61/11,-715935808/24057,b1m3h0,-715935808/24057,0
6,-149/24;7/3;10/3;3;2;-107/24,-17839472/243,b1m3h0,-17839472/243,0
6,-484/73;7/2;10/3;3;7/3;-2425/438,-58772874314/53217,b3m1h0,-58772874314/53217,0
6,-475/54;5/2;7;7/2;1/2;-127/27,-4277375/216,b1m3h0,-4277375/216,0
6,-6397/642;5;13/2;3;10/3;-842/107,-13766344000/963,b2m2h0,-13766344000/963,0
6,-845/101;13/2;14/3;5/3;4;-5131/606,-27559168000/2727,b3m0h1,-27559168000/2727,0
6,-367/54;5;4;2;5/2;-181/27,-281626625/108,b3m1h0,-281626625/108,0
6,-599/90;4/3;1/3;4;13/3;-301/90,-27640256/98415,b1m3h0,-27640256/98415,0
6,-4239/286;13/3;9/2;11;4;-3866/429,-447618304/33,b1m3h0,-447618304/33,0
6,-67/15;2;1/2;3/2;7/2;-91/30,-13266/5,b2m2h0,-13266/5,0
6,-2347/336;1;13/2;4/3;1/2;-263/112,-86839/672,b1m3h0,-86839/672,0
6,-197/27;9/2;1;5;3;-335/54,-865224,b2m2h0,-865224,0
6,-151/13;9/2;8;2;5;-205/26,-87253236/13,b1m3h0,-87253236/13,0
6,-655/78;10;2;1;13/2;-433/39,-2724800,b3m0h1,-2724800,0
6,-7669/750;8;7/2;5;13/3;-1326/125,-4064447296/45,b3m0h1,-4064447296/45,0
6,-4769/558;14/3;5/3;11/2;11/3;-1940/279,-264980900800/67797,b2m2h0,-264980900800/67797,0
6,-1015/162;11;11/3;1/3;3;-1901/162,-43230880/243,b3m0h1,-43230880/243,0
6,-2432/297;13/2;4/3;5;11/3;-4937/594,-4451532800/729,b3m0h1,-4451532800/729,0
6,-607/93;5/2;1/3;11/2;2;-118/31,-14665120/2511,b2m2h0,-14665120/2511,0
6,-937/74;1;2;9;13/2;-216/37,-14992/37,b0m4h0,-14992/37,0
6,-93/8;3;9;9/2;3/2;-51/8,-7525467/16,b1m3h0,-7525467/16,0
6,-6275/618;10/3;13/3;4;11/2;-2167/309,-1004000000000/675783,b0m4h0,-1004000000000/675783,0
6,-1139/282;8/3;3/2;5/3;2;-535/141,-562741174/11421,b3m1h0,-562741174/11421,0
6,-17;7/3;11;2;10;-25/3,-16283008/81,b1m3h0,-16283008/81,0
6,-1901/225;3/2;7/3;7;5/3;-1823/450,-461943/100,b0m4h0,-461943/100,0
6,-9;3/2;2/3;13/2;14/3;-13/3,-64204/27,b1m3h0,-64204/27,0
6,-5071/636;8;5/2;8/3;9/2;-2055/212,-584179200/53,b3m0h1,-584179200/53,0
6,-457/96;5;3;5/3;1;-189/32,-114250,b3m0h1,-114250,0
6,-7127/618;10/3;1/3;7/2;10;-1741/309,-33868644320/675783,b1m3h0,-33868644320/675783,0
7,-8563/714;11/2;1/3;1/2;7/2;10;-933/119,-1136721124/1377,b3m2h0,-1136721124/1377,0
7,-1041/82;7/2;1/2;9;5;5/2;-320/41,-1473613575/328,b2m3h0,-1473613575/328,0
7,-1541/141;1/3;2;10/3;9;1;-668/141,-98624/2775303,b0m5h0,-98624/2775303,0
7,-5131/285;13/2;10;6;11/2;11/3;-1298/95,-277364372331576257/14959080,b3m2h0,-277364372331576257/14959080,0
7,-3865/276;10/3;9;11/2;5/3;7/2;-2483/276,-42273437500000/1358127,b1m4h0,-42273437500000/1358127,0
7,-5029/334;8;5/3;11/2;11/3;9;-6401/501,-345764549944000/40581,b3m2h0,-345764549944000/40581,0
7,-1078/123;1/2;5/3;11/2;2;4;-201/41,-539/492,b0m5h0,-539/492,0
7,-1387/85;11/2;13/2;8/3;9;14/3;-3064/255,-1747458183747584/557685,b2m3h0,-1747458183747584/557685,0
7,-381/47;5;10/3;4;7/3;1;-1066/141,-628214339200/11421,b4m1h0,-628214339200/11421,0
7,-4393/294;10/3;3;7/2;10;14/3;-1405/147,-247606349120/5103,b1m4h0,-247606349120/5103,0
7,-2719/224;5/3;3/2;2;9;9/2;-4387/672,-2394582515/31104,b1m4h0,-2394582515/31104,0
7,-6065/528;4/3;1/2;1/3;3/2;11;-1679/528,-60304295/72171,b2m3h0,-60304295/72171,0
7,-19009/1110;8;7/2;11;5;10/3;-2536/185,-85454123104000/2997,b3m2h0,-85454123104000/2997,0
7,-1207/135;3;11/3;4/3;6;1;-818/135,-70010171392/32805,b2m3h0,-70010171392/32805,0
7,-4037/375;13/2;5;13/3;2;3;-2517/250,-1885626375776/1125,b4m1h0,-1885626375776/1125,0
7,-3521/492;13/3;7/2;5/2;1/3;3;-3203/492,-824379740275/269001,b4m1h0,-824379740275/269001,0
7,-8493/406;7/3;5;11;10;11/2;-7865/609,-522244852192/190269,b0m5h0,-522244852192/190269,0
7,-91/12;5/3;9/2;1/3;10/3;5/2;-19/4,-428420720/59049,b1m4h0,-428420720/59049,0
7,-727/105;5/3;10/3;3;1;8/3;-166/35,-1680637888/45927,b1m4h0,-1680637888/45927,0
7,-208/19;4;6;5;3;1;-153/19,-735141888/19,b2m3h0,-735141888/19,0
7,-3523/450;2/3;3/2;11/3;13/3;7/3;-1051/225,-57720832/4428675,b0m5h0,-57720832/4428675,0
7,-1937/162;4/3;4;1/3;10/3;9;-979/162,-3696973696/1594323,b1m4h0,-3696973696/1594323,0
7,-19;10;4;8;2;11;-16,-69331845120,b3m2h0,-69331845120,0
7,-2887/204;3;5/3;9;7;2;-579/68,-150234860800/12393,b2m3h0,-150234860800/12393,0
7,-422/49;14/3;11/3;10/3;3;5/3;-1135/147,-23043191840000/137781,b4m1h0,-23043191840000/137781,0
