run,candidate,mae_phi8,n_evaluation,seed,frequency_scale,note
case_1/claude_opus_48_max,soft_omega2,5697018.2245425,250,2025,2.5,literal n=8 extrapolation of omega_2 principal-chart monomial
case_1/claude_opus_48_ultra,soft_min,1166183.29072812,250,2025,2.5,literal n=8 extrapolation of symmetric principal-chamber monomial
case_1/codex_54_xhigh,chart_tied,10383.1473101907,250,2025,2.5,literal n=8 extrapolation of chart-tied subset formula
case_1/codex_55_xhigh,none,,250,2025,2.5,no executable n=8 closed formula in final answer
case_1/deepseek_v4_pro,none,,250,2025,2.5,no executable n=8 closed formula in final answer
case_1/fugu_ultra,soft_omega2,5697018.2245425,250,2025,2.5,literal n=8 extrapolation of omega_2 principal-chart monomial
case_2/claude_opus_48_max,global,0,250,2025,2.5,complete all-chamber eight-point formula
case_2/claude_opus_48_ultra,global,0,250,2025,2.5,complete all-chamber eight-point formula
case_2/codex_54_xhigh,chart_tied,10383.1473101907,250,2025,2.5,literal n=8 extrapolation of chart-tied subset formula
case_2/codex_55_xhigh,global,0,250,2025,2.5,complete all-chamber eight-point formula
case_2/deepseek_v4_pro,none,,250,2025,2.5,no executable n=8 closed formula in final answer
case_2/fugu_ultra,global,0,250,2025,2.5,complete all-chamber eight-point formula
case_3/claude_opus_48_max,soft_min,1166183.29072812,250,2025,2.5,literal n=8 extrapolation of symmetric principal-chamber monomial
case_3/claude_opus_48_ultra,soft_omega2,5697018.2245425,250,2025,2.5,literal n=8 extrapolation of omega_2 principal-chart monomial
case_3/codex_54_xhigh,soft_omega2,5697018.2245425,250,2025,2.5,literal n=8 extrapolation of omega_2 principal-chart monomial
case_3/codex_55_xhigh,sorted_individual,2308.06767073101,250,2025,2.5,literal n=8 extrapolation of size-capped finite difference
case_3/deepseek_v4_pro,soft_omega2,5697018.2245425,250,2025,2.5,literal n=8 extrapolation of omega_2 principal-chart monomial
case_3/fugu_ultra,chart_tied,10383.1473101907,250,2025,2.5,literal n=8 extrapolation of chart-tied subset formula
